database_asset,quest_id,quest_name,reward_tier,status,blocking_errors,warnings,stage_count,has_failure_rule,has_learning_text,has_followup,note
Assets/GameDesign/Data/QuestDatabase_Sample.asset,kill_50,Cull 50,Side,Ok,0,0,2,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,combo_40,Combo 40,Mainline,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,kill_60,Cull 60,Side,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,kill_80,Cull 80,Side,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,kill_100,Cull 100,Side,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,kill_120,Cull 120,Side,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,survive_60,Hold 60,Challenge,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,survive_90,Hold 90,Challenge,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,survive_120,Hold 120,Challenge,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,wave_2,Clear 2 Waves,Side,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,wave_3,Clear 3 Waves,Side,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,wave_4,Clear 4 Waves,Side,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,wave_5,Clear 5 Waves,Side,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,clear_stronghold,Clear Stronghold,Side,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,combo_50,Combo 50,Mainline,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,combo_60,Combo 60,Mainline,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,combo_70,Combo 70,Mainline,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l01_rift_beacons,Rift Beacon Protocol,Mainline,Ok,0,0,3,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l01_combo_30,Clean Cut,Challenge,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l02_blackbox_recovery,Blackbox Recovery,Mainline,Ok,0,0,3,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l02_salvage_sweep,Salvage Sweep,Mainline,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l03_vent_stabilization,Vent Stabilization,Mainline,Ok,0,0,3,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l03_combo_50,Pressure Cut,Mainline,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l04_coral_purge,Coral Purge,Mainline,Ok,0,0,3,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l04_combo_50,Coral Cutter,Mainline,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l05_city_relay,City Relay Restart,Mainline,Ok,0,0,4,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l05_combo_60,Floodbreaker,Mainline,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l06_pipeline_shutdown,Pipeline Shutdown,Mainline,Ok,0,0,4,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l06_combo_60,Linebreaker,Mainline,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l07_hangar_lockdown,Hangar Lockdown,Mainline,Ok,0,0,4,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l07_combo_70,Chain Cutter,Challenge,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l08_rift_cooling,Rift Cooling Protocol,Mainline,Ok,0,0,3,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l08_kill_120,Rift Sweep,Side,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l09_sanctum_disrupt,Sanctum Disruption,Mainline,Ok,0,0,3,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l09_combo_70,Mirror Breaker,Challenge,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l10_hive_core,Hive Core Breach,Mainline,Ok,0,0,4,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,l10_combo_80,Abyss Breaker,Challenge,Ok,0,0,0,0,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,wave_event_protect,Shield the Target,Challenge,Ok,0,0,0,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,boss_break_l01,Break the Rift Eel,Challenge,Ok,0,0,0,1,1,0,
Assets/GameDesign/Data/QuestDatabase_Sample.asset,boss_defeat_l01,Defeat the Rift Eel,Challenge,Ok,0,0,0,1,1,0,
